uuid,name,description,class,shortname,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,answer.13,answer.14,answer.15,answer.16,answer.17,answer.18,answer.19,answer.20,answer.21,answer.22,answer.23,answer.24,answer.25,answer.26,answer.27,answer.28,answer.29,answer.30,answer.31,answer.32,answer.33,answer.34,answer.35,answer.36,answer.37,answer.38,answer.39,answer.40,answer.41,answer.42,answer.43,answer.44,answer.45,answer.46,answer.47,answer.48,answer.49,answer.50,answer.51,answer.52,answer.53,answer.54,answer.55,answer.56,answer.57,answer.58,answer.59,answer.60,answer.61,answer.62,answer.63,answer.64,answer.65,answer.66,reference-term-source,reference-term-code,reference-term-relationship
,IV Narcotics,,Misc,IV Narcotics,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Insulin,,Misc,Insulin,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DVT Prophylaxis,,Misc,DVT Prophylaxis,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"VS, Date recorded",,Question,Date recorded,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIEL,162869,SAME-AS
,Weight,,Finding,Weight,Numeric,Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIEL,5089,SAME-AS
,Height,,Finding,Height,Numeric,cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIEL,5090,SAME-AS
,BMI,,Computed,BMI,Numeric,Kg/m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIEL,1342,SAME-AS
,"VS, Respiratory Rate",,Finding,Respiratory rate,Numeric,breaths/minute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIEL,5242,SAME-AS
,"VS, Temperature",,Finding,Temperature,Numeric,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIEL,5088,SAME-AS
,"VS, Pulse",,Finding,Pulse,Numeric,bpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIEL,5087,SAME-AS
,"VS, Systolic blood pressure",,Finding,Systolic blood pressure,Numeric,mmHg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIEL,5085,SAME-AS
,"VS, Diastolic blood pressure",,Finding,Diastolic blood pressure,Numeric,mmHg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIEL,5086,SAME-AS
,"VS, Blood oxygen saturation",,Test,Blood oxygen saturation,Numeric,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIEL,5092,SAME-AS
,"VS, Fasting",,Question,Fasting,Numeric,mg/dl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"VS, Random",,Question,Random,Numeric,mg/dl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"VS, Comments about baseline vital signs",,Question,Comments about baseline vital signs,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SMH, Date of consultation",,Question,Date of consultation,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIEL,162869,SAME-AS
,"SMH, Marital status",,Question,Marital status,Coded,,,,,,,Single,Married,Divorced,Widowed,Child,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIEL,1054,SAME-AS
,"SMH, Highest education level",,Question,Highest education level,Coded,,,,,,,No formal education,Primary school education,Secondary school education,University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIEL,1712,SAME-AS
,"SMH, Pregnancy status",,Question,Pregnancy status,Coded,,,,,,,Yes,No,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIEL,5272,SAME-AS
,"SMH, Current smoker",,Question,Current smoker,Coded,,,,,,,Yes,No,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SMH, Number of cigarettes per day",,Finding,Number of cigarettes per day,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SMH, Duration of smoking (in years)",,Finding,Duration of smoking (in years),Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIEL,159449,SAME-AS
,"SMH, Drug and Alcohol use",,Question,Drug and Alcohol use,Coded,,,,,,,In the past,Currently,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SMH, Medical History",,Question,Medical History,Coded,,,,,,,Hypertension,Palpitations,Dyspnea,Asthma,Tuberculosis,Diabetes mellitus,Angina,Peptic Ulcer,Jaundice,Epilepsy,Hepatitis,Kidney problems,High cholesterol,COPD,Other,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIEL,1633,SAME-AS
,"SMH, Other medical problems",,Finding,Other medical problems,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SMH, History of Allergy",,Question,History of Allergy,Coded,,,,,,,None,Drugs,Food,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIEL,110247,SAME-AS
,"SMH, Comments about allergy",,Finding,Comments about allergy,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SMH, Currently taking medication",,Question,Currently taking medication,Coded,,,,,,,Yes,No,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SMH, Type of medication",,Finding,Type of medication,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SMH, Dose and freqency",,Finding,Dose and freqency,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SMH, Date of last dose",,Question,Date of last dose,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SMH, Pain severity",,Finding,Pain severity,Numeric,,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIEL,160287,SAME-AS
,"SMH, Side of pain",,Finding,Side of pain,Coded,,,,,,,Right,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SMH, Site of pain",,Finding,Site of pain,Coded,,,,,,,"Site, Eye","Site, Ear","Site, Nose","Site, Mouth","Site, Cheek","Site, Chin","Site, Scalp","Site, Neck","Site, Face","Site, Finger","Site, Breast","Site, Trunk","Site, Groin","Site, Toe","Site, Shoulder","Site, Axilla","Site, Arm","Site, Elbow","Site, Forearm","Site, Wrist","Site, Hand","Site, Gluteal","Site, Hip","Site, Thigh","Site, Knee","Site, Leg","Site, Ankle","Site, Foot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SMH, Number of wounds",,Finding,Number of wounds,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SMH, Site",,Finding,Site,Coded,,,,,,,"Site, Eye","Site, Ear","Site, Nose","Site, Mouth","Site, Cheek","Site, Chin","Site, Scalp","Site, Neck","Site, Face","Site, Finger","Site, Breast","Site, Trunk","Site, Groin","Site, Toe","Site, Shoulder","Site, Axilla","Site, Arm","Site, Elbow","Site, Forearm","Site, Wrist","Site, Hand","Site, Gluteal","Site, Hip","Site, Thigh","Site, Knee","Site, Leg","Site, Ankle","Site, Foot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SMH, Description",,Finding,Description,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SMH, Nursing notes",,Finding,Nursing notes,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"HE, Date of consultation",,Question,Date of consultation,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIEL,162869,SAME-AS
,"HE, External devices, present",,Finding,"External devices, present",Coded,,,,,,,None,Ex-fix,Foley catheter,Condom catheter,Colostomy bag,Big tube,Tracheostomy,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"HE, Other type of external device",,Finding,Other type of external device,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"HE, Nutritional Assessment",,Finding,Nutritional Assessment,Coded,,,,,,,Regular,Low salt,High protein,Diabetic diet,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"HE, Personal hygiene",,Question,Personal hygiene (presence of head lice / bugs),Coded,,,,,,,Yes,No,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"HE, SMFA functional index",,Finding,SMFA functional index,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"HE, SMFA bothersome index",,Finding,SMFA bothersome index,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"HE, Education learning needs",,Finding,Education learning needs,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"HE, Referral care Plan",,Finding,Referral care plan,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PIA, Date of consultation",,Question,Date of consultation,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIEL,162869,SAME-AS
,"PIA, Future expectations about care plan",,Finding,Future expectations about care plan,Coded,,,,,,,According to medical plan,Different from medical plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PIA, Comments about expectations",,Finding,Comments about expectations,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PIA, Past history of psychological or counselling care for patient",,Question,Past history of psychological or counselling care for patient,Coded,,,,,,,Yes,No,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PIA, By who (NGO / private) ccp",,Question,By who (NGO / private),Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PIA, Past history of psychological or counselling care of family member",,Question,Past history of psychological or counselling care of family member,Coded,,,,,,,Yes,No,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PIA, By who (NGO / private) ccf",,Question,By who (NGO / private),Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PIA, Past history of psychiatric care for patient",,Question,Past history of psychiatric care for patient,Coded,,,,,,,Yes,No,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PIA, By who (NGO / private) pcp",,Question,By who (NGO / private),Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PIA, Past history of psychiatric care of family member",,Question,Past history of psychiatric care of family member,Coded,,,,,,,Yes,No,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PIA, By who (NGO / private) pcf",,Question,By who (NGO / private),Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PIA, History of psychotropic drugs",,Finding,History of psychotropic drugs,Coded,,,,,,,Yes,No,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PIA, Drug",,Finding,Drug,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PIA, SQR20 (score)",,Finding,SQR20 (score),Numeric,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PIA, PTSD (score)",,Finding,PTSD (score),Numeric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PIA, PSYca 3-6 (child)",,Finding,PSYca 3-6 (child),Numeric,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PIA, Needed Mental Health Support",,Finding,Needed Mental Health Support,Coded,,,,,,,No need for specific follow-up,Followed daily by counselor,Referred to clincal psychologist,Referred to psychiatrist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PIA, Comments from counsellor",,Finding,Comments from counsellor,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PHIA, Date of consultation",,Question,Date of consultation,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIEL,162869,SAME-AS
,"PHIA, Grooming",,Finding,Grooming,Coded,,,,,,,Independent,With Assistance,Dependent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PHIA, Feeding",,Finding,Feeding,Coded,,,,,,,Independent,With Assistance,Dependent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PHIA, Dressing",,Finding,Dressing,Coded,,,,,,,Independent,With Assistance,Dependent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PHIA, Toilet use",,Finding,Toilet use,Coded,,,,,,,Independent,With Assistance,Dependent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PHIA, Transfers",,Finding,Transfers,Coded,,,,,,,Independent,With Assistance,Dependent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PHIA, Stairs",,Finding,Stairs,Coded,,,,,,,Independent,With Assistance,Dependent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PHIA, Mobility",,Finding,Mobility,Coded,,,,,,,Independent,Assistive Device,Wheelchair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PHIA, Does the patient use an assistive device or orthosis?",,Question,Does the patient use an assistive device or orthosis?,Coded,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PHIA, Type of assistive device or orthosis",,Finding,Type of assistive device or orthosis,Coded,,,,,,,Orthosis,One axillary crutch,Two axillary crutches,One elbow crutch,Two elbow crutches,cane,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PHIA, Other type of assistive device",,Finding,Other type of assistive device,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PHIA, Comments about assistive device or orthosis",,Finding,Comments about assistive device or orthosis,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PHIA, Amputee patient?",,Finding,Amputee patient?,Coded,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PHIA, Type of amputation",,Finding,Type of amputation,Coded,,,,,,,Above Knee,Below Knee,"PHIA, Foot",Above Elbow,Below Elbow,"PHIA, Wrist","PHIA, Hand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PHIA, Side of amputation",,Finding,Side of amputation,Coded,,,,,,,Right,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PHIA, Comments about amputation",,Finding,Comments about amputation,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PHIA, Is the patient coming with a prostheses?",,Finding,Is the patient coming with a prostheses?,Coded,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PHIA, Comment about prostheses usage",,Finding,Comment about prostheses usage,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PHIA, Is there a need of new prosthesis or modification",,Finding,Is there a need of new prosthesis or modification,Coded,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PHIA, Comment about new prosthesis or modification",,Finding,Comment about new prosthesis or modification,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PHIA, Location of assessment",,Question,Location of assessment,Coded,,,,,,,Lower limb,Upper limb,Maxillo-facial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PHIA, Upper extremity functional index (>18 years)",,Finding,Upper extremity functional index (>18 years),Numeric,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PHIA, Neuro QOL upper limb (<18 years)",,Finding,Neuro QOL upper limb (<18 years),Numeric,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PHIA, Basic grip test",,Finding,Basic grip test,Numeric,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PHIA, Muscle power test (MMT)",,Finding,Muscle power test (MMT),Numeric,%,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PHIA, Lower extremity functional index (>18 years)",,Finding,Lower extremity functional index (>18 years),Numeric,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PHIA, Neuro QOL lower limb (<18 years)",,Finding,Neuro QOL lower limb (<18 years),Numeric,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PHIA, Tinetti ",,Finding,Tinetti ,Numeric,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PHIA, Functional evaluation of mouth",,Finding,Functional evaluation of mouth,Numeric,%,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PHIA, Mouth opening test",,Finding,Mouth opening test,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PHIA, Physiotherapy remarks initial assessment",,Finding,Physiotherapy remarks initial assessment,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"MD, Date of consultation",,Question,Date of consultation,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIEL,162869,SAME-AS
,"MD, Chief complaint",,Finding,Chief complaint,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIEL,160531,SAME-AS
,"MD, History of present illness",,Finding,History of present illness,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIEL,1390,SAME-AS
,"MD, Associated neural injury",,Finding,Associated neural injury,Coded,,,,,,,Yes,No,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"MD, Comments (neural injury)",,Finding,Comments (neural injury),Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"MD, Associated vascular injury",,Finding,Associated vascular injury,Coded,,,,,,,Yes,No,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"MD, Comments (vascular injury)",,Finding,Comments (vascular injury),Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"MD, Function of injured part",,Finding,Function of injured part,Coded,,,,,,,Normal,Good,"Deformed, mobile","Deformed, stiff",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"MD, Sensation of injured part",,Finding,Sensation of injured part,Coded,,,,,,,Normal,Reduced (Regional),Senseless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"MD, History of previous surgery",,Finding,History of previous surgery,Coded,,,,,,,Yes,No,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"MD, Non-Coded Procedures performed outside AMH",,Misc,Non-Coded Procedures performed outside AMH,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"MD, Procedures performed outside AMH",,Finding,Procedures performed outside AMH,Coded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIEL,1651,SAME-AS
,"MD, Site of procedure",,Finding,Site of procedure,Coded,,,,,,,"Site, Eye","Site, Ear","Site, Nose","Site, Mouth","Site, Cheek","Site, Chin","Site, Scalp","Site, Neck","Site, Face","Site, Finger","Site, Breast","Site, Trunk","Site, Groin","Site, Toe","Site, Shoulder","Site, Axilla","Site, Arm","Site, Elbow","Site, Forearm","Site, Wrist","Site, Hand","Site, Gluteal","Site, Hip","Site, Thigh","Site, Knee","Site, Leg","Site, Ankle","Site, Foot",Humerus proximal,Humerus shaft,Humerus distal,Radius proximal,Radius shaft,Radius distal,Ulna proximal,Ulna shaft,Ulna distal,Carpal,Metacarpals,Phalanges,Hip joint,Femur proximal,Femur shaft,Femur distal,Tibia proximal,Tibia shaft,Tibia distal,Fibula proximal,Fibula shaft,Fibula distal,"Site, Median","Site, Ulnar","Site, Brachial plexus","Site, Radial","Site, Axillary","Site, Sciatic","Site, Tibial","Site, Craniofacial","Site, Mid-face excl. orbit","Site, Orbit","Site, Mandible",,,,,,,,
